location_id,location_name,latitude,longitude
10017,Morwell East,-38.229393,146.424454
10006,Altona North,-37.84455,144.8629
10022,Dandenong,-37.98576,145.1987
10005,Point Cook,-37.9263153,144.7567
10213,Brooklyn,-37.8220978,144.8471
10107,Geelong South,-38.17356,144.3703
10136,Mooroolbark,-37.7749672,145.3285
10451,Footscray,-37.803709,144.869342
10011,Traralgon,-38.1942825,146.531464
10001,Alphington,-37.7784081,145.0306
10219,Churchill,-38.3043137,146.414932
10169,Melton,-37.7064552,144.5669
10218,Moe,-38.1864662,146.258331
10352,Newborough,-38.18772,146.2927
10425,Campbellfield,-37.679276,144.965717
10042,Box Hill,-37.8287277,145.1324
10239,Melbourne CBD,-37.8073959,144.97
10007,Brighton,-37.9135475,144.998
10217,Morwell South,-38.2392921,146.3873
10432,Bendigo,-36.7784,144.300069
