location_id,location_name,average_value
10017,Morwell East,8.65663866
10006,Altona North,34.31960931
10022,Dandenong,31.613121
10005,Point Cook,32.4540417
10213,Brooklyn,18.45872
10107,Geelong South,26.5800573
10136,Mooroolbark,30.7618911
10451,Footscray,8.84773969
10011,Traralgon,24.7316196
10001,Alphington,23.8335046
10219,Churchill,8.50576116
10169,Melton,42.7761376
10218,Moe,11.0275481
10352,Newborough,4.89602708
10425,Campbellfield,6.47966182
10042,Box Hill,5.09634126
10239,Melbourne CBD,7.27385321
10007,Brighton,6.89384287
10217,Morwell South,8.87380353
10432,Bendigo,3.32186647
